order_id,date,weekday,hour,channel,customer_type,category,product,quantity,unit_price,discount_pct,ticket_amount,wait_minutes,satisfaction,returned_within_30d
ORD-01913,2025-01-02,Thursday,10,Mostrador,Habitual,Bebidas frías,Iced latte,2,2849.0,0.0,5698.0,13.1,4.3,1
ORD-02628,2025-01-02,Thursday,10,Delivery,Nuevo,Café,Latte,3,1767.0,0.0,5301.0,21.7,3.6,1
ORD-00845,2025-01-02,Thursday,11,Takeaway,Nuevo,Bebidas frías,Cold brew,1,3000.0,0.0,3000.0,9.4,5.0,1
ORD-00901,2025-01-02,Thursday,11,Takeaway,Habitual,Bebidas frías,Iced latte,1,3029.0,0.0,3029.0,3.4,5.0,0
ORD-01622,2025-01-02,Thursday,11,Mostrador,Nuevo,Bebidas frías,Cold brew,2,2661.0,0.0,5322.0,2.0,5.0,0
ORD-02789,2025-01-02,Thursday,11,Delivery,Nuevo,Desayuno,Yogur + granola,1,3960.0,0.1,3564.0,15.3,4.3,0
ORD-03217,2025-01-02,Thursday,11,Takeaway,Frecuente,Café,Espresso,3,1867.0,0.1,5040.0,7.9,3.9,1
ORD-00773,2025-01-02,Thursday,12,Mostrador,Nuevo,Café,Americano,3,1974.0,0.05,5627.0,7.2,4.9,0
ORD-00846,2025-01-02,Thursday,12,Mostrador,Nuevo,Almuerzo,Bagel,1,5431.0,0.0,5431.0,12.4,4.6,0
ORD-04598,2025-01-02,Thursday,12,Delivery,Habitual,Desayuno,Combo desayuno,3,4091.0,0.0,12272.0,21.7,4.1,0
ORD-06229,2025-01-02,Thursday,12,Mostrador,Habitual,Pastelería,Budín,2,1667.0,0.0,3334.0,4.5,4.9,1
ORD-01294,2025-01-02,Thursday,14,Mostrador,Habitual,Pastelería,Budín,1,1570.0,0.0,1570.0,7.1,4.9,0
ORD-03191,2025-01-02,Thursday,14,Takeaway,Habitual,Café,Cortado,1,2098.0,0.0,2098.0,10.5,4.4,1
ORD-04111,2025-01-02,Thursday,14,Mostrador,Nuevo,Café,Cortado,1,1750.0,0.1,1575.0,6.4,4.9,0
ORD-06076,2025-01-02,Thursday,14,Takeaway,Habitual,Bebidas frías,Limonada,1,2831.0,0.0,2831.0,15.5,4.1,0
ORD-06358,2025-01-02,Thursday,14,Takeaway,Frecuente,Bebidas frías,Limonada,2,3075.0,0.0,6149.0,12.7,4.1,1
ORD-04627,2025-01-02,Thursday,15,Mostrador,Nuevo,Bebidas frías,Limonada,2,2544.0,0.0,5088.0,3.1,5.0,0
ORD-03234,2025-01-02,Thursday,16,Takeaway,Habitual,Almuerzo,Tostado,2,3947.0,0.0,7894.0,6.3,5.0,0
ORD-05297,2025-01-02,Thursday,16,Mostrador,Nuevo,Bebidas frías,Licuado,1,2268.0,0.0,2268.0,5.1,4.3,0
ORD-01237,2025-01-02,Thursday,17,Mostrador,Nuevo,Desayuno,Tostadas,2,4446.0,0.0,8892.0,5.9,4.4,0
ORD-01550,2025-01-02,Thursday,17,Takeaway,Nuevo,Almuerzo,Bagel,1,5555.0,0.0,5555.0,8.3,4.5,0
ORD-02646,2025-01-02,Thursday,17,Mostrador,Habitual,Pastelería,Cookie,2,1671.0,0.0,3343.0,10.1,4.4,1
ORD-06057,2025-01-02,Thursday,18,Takeaway,Nuevo,Café,Flat White,1,1972.0,0.05,1873.0,5.3,4.2,0
ORD-06414,2025-01-02,Thursday,18,Mostrador,Habitual,Pastelería,Croissant,3,1588.0,0.05,4525.0,7.7,4.3,0
ORD-01739,2025-01-02,Thursday,19,Mostrador,Nuevo,Almuerzo,Tostado,1,5426.0,0.0,5426.0,4.8,4.8,1
ORD-01279,2025-01-03,Friday,11,Mostrador,Nuevo,Pastelería,Tostada dulce,1,1280.0,0.05,1216.0,5.1,4.7,0
ORD-04689,2025-01-03,Friday,11,Mostrador,Habitual,Desayuno,Yogur + granola,1,4278.0,0.1,3851.0,5.8,5.0,0
ORD-05844,2025-01-03,Friday,11,Mostrador,Habitual,Pastelería,Tostada dulce,1,1761.0,0.15,1497.0,5.3,5.0,0
ORD-00104,2025-01-03,Friday,12,Mostrador,Habitual,Bebidas frías,Iced latte,1,2757.0,0.0,2757.0,10.1,4.7,1
ORD-01190,2025-01-03,Friday,12,Delivery,Habitual,Bebidas frías,Limonada,1,2477.0,0.0,2477.0,22.3,3.8,1
ORD-04885,2025-01-03,Friday,12,Mostrador,Habitual,Almuerzo,Ensalada,2,6085.0,0.0,12170.0,12.4,4.5,1
ORD-04055,2025-01-03,Friday,14,Takeaway,Habitual,Almuerzo,Tostado,2,4889.0,0.0,9778.0,5.3,5.0,0
ORD-02202,2025-01-03,Friday,15,Mostrador,Frecuente,Bebidas frías,Limonada,1,2387.0,0.0,2387.0,2.5,5.0,1
ORD-00575,2025-01-03,Friday,16,Mostrador,Habitual,Café,Americano,3,1851.0,0.1,4998.0,7.9,5.0,0
ORD-06155,2025-01-03,Friday,16,Takeaway,Nuevo,Pastelería,Cookie,3,1610.0,0.0,4831.0,6.6,4.3,0
ORD-04361,2025-01-03,Friday,17,Delivery,Habitual,Desayuno,Combo desayuno,2,3632.0,0.05,6902.0,17.2,4.6,0
ORD-00465,2025-01-03,Friday,18,Takeaway,Nuevo,Café,Latte,2,1777.0,0.05,3377.0,10.3,4.9,1
ORD-02401,2025-01-03,Friday,18,Mostrador,Frecuente,Desayuno,Combo desayuno,1,3931.0,0.0,3931.0,5.3,4.4,1
ORD-03399,2025-01-03,Friday,19,Mostrador,Nuevo,Pastelería,Croissant,2,1533.0,0.0,3066.0,2.1,4.5,0
ORD-05719,2025-01-03,Friday,19,Mostrador,Habitual,Pastelería,Cookie,2,1653.0,0.0,3306.0,8.0,4.8,1
ORD-00707,2025-01-03,Friday,20,Mostrador,Frecuente,Café,Latte,2,1680.0,0.0,3361.0,7.1,4.7,1
ORD-05603,2025-01-04,Saturday,10,Delivery,Frecuente,Café,Americano,1,1641.0,0.0,1641.0,25.2,4.8,0
ORD-01763,2025-01-04,Saturday,11,Takeaway,Nuevo,Pastelería,Budín,1,1983.0,0.05,1884.0,6.9,4.4,0
ORD-00303,2025-01-04,Saturday,12,Takeaway,Habitual,Almuerzo,Wrap,2,5750.0,0.0,11500.0,7.1,4.6,0
ORD-01070,2025-01-04,Saturday,13,Mostrador,Nuevo,Bebidas frías,Limonada,2,2645.0,0.0,5290.0,8.4,3.7,0
ORD-04131,2025-01-04,Saturday,13,Takeaway,Nuevo,Desayuno,Combo desayuno,2,4590.0,0.0,9179.0,10.8,4.2,0
ORD-01807,2025-01-04,Saturday,14,Mostrador,Nuevo,Café,Flat White,2,1486.0,0.0,2972.0,4.8,4.4,0
ORD-02443,2025-01-04,Saturday,14,Mostrador,Habitual,Desayuno,Yogur + granola,1,4325.0,0.0,4325.0,7.7,4.8,1
ORD-03725,2025-01-04,Saturday,14,Mostrador,Habitual,Café,Flat White,2,1914.0,0.0,3829.0,9.8,4.0,0
ORD-03799,2025-01-04,Saturday,14,Mostrador,Nuevo,Café,Americano,2,1942.0,0.0,3885.0,6.8,3.9,1
ORD-04788,2025-01-04,Saturday,14,Delivery,Nuevo,Almuerzo,Wrap,1,4661.0,0.05,4428.0,21.9,4.1,0
ORD-01175,2025-01-04,Saturday,15,Mostrador,Habitual,Bebidas frías,Limonada,3,2768.0,0.05,7887.0,7.4,5.0,1
ORD-04768,2025-01-04,Saturday,16,Mostrador,Nuevo,Almuerzo,Wrap,2,5559.0,0.0,11118.0,3.6,5.0,0
ORD-01532,2025-01-04,Saturday,20,Takeaway,Nuevo,Bebidas frías,Limonada,2,2971.0,0.0,5942.0,8.8,4.8,0
ORD-06436,2025-01-05,Sunday,7,Mostrador,Nuevo,Bebidas frías,Cold brew,1,2652.0,0.0,2652.0,2.3,5.0,0
ORD-03822,2025-01-05,Sunday,11,Mostrador,Habitual,Bebidas frías,Cold brew,1,3132.0,0.0,3132.0,2.2,5.0,0
ORD-04393,2025-01-05,Sunday,12,Takeaway,Habitual,Desayuno,Yogur + granola,1,4352.0,0.0,4352.0,14.7,4.2,1
ORD-05438,2025-01-05,Sunday,12,Takeaway,Frecuente,Almuerzo,Tostado,2,5288.0,0.0,10575.0,9.8,3.7,0
ORD-05916,2025-01-05,Sunday,13,Takeaway,Nuevo,Café,Americano,1,1901.0,0.0,1901.0,8.6,4.2,0
ORD-01682,2025-01-05,Sunday,15,Mostrador,Nuevo,Pastelería,Croissant,1,1764.0,0.05,1675.0,2.4,4.5,1
ORD-03904,2025-01-05,Sunday,15,Mostrador,Habitual,Almuerzo,Ensalada,1,4890.0,0.0,4890.0,5.4,4.6,1
ORD-05078,2025-01-05,Sunday,15,Mostrador,Nuevo,Almuerzo,Tostado,1,4659.0,0.0,4659.0,2.0,4.4,0
ORD-05880,2025-01-05,Sunday,15,Mostrador,Habitual,Almuerzo,Bagel,2,5856.0,0.1,10541.0,6.3,4.6,0
ORD-06151,2025-01-05,Sunday,15,Mostrador,Nuevo,Pastelería,Croissant,1,1307.0,0.0,1307.0,5.2,4.8,0
ORD-00790,2025-01-05,Sunday,17,Delivery,Nuevo,Almuerzo,Bagel,2,5393.0,0.0,10786.0,14.2,3.9,1
ORD-00801,2025-01-05,Sunday,19,Delivery,Habitual,Pastelería,Budín,1,1330.0,0.1,1197.0,20.0,2.9,0
ORD-00410,2025-01-06,Monday,8,Takeaway,Nuevo,Pastelería,Budín,2,1540.0,0.0,3080.0,9.1,4.3,1
ORD-00839,2025-01-06,Monday,9,Mostrador,Habitual,Pastelería,Croissant,2,1760.0,0.1,3168.0,9.2,4.9,0
ORD-01038,2025-01-06,Monday,11,Mostrador,Nuevo,Desayuno,Avocado toast,3,4047.0,0.0,12140.0,8.0,5.0,0
ORD-01121,2025-01-06,Monday,12,Mostrador,Frecuente,Pastelería,Tostada dulce,1,1427.0,0.0,1427.0,8.9,4.7,0
ORD-04931,2025-01-06,Monday,12,Delivery,Nuevo,Desayuno,Tostadas,3,4178.0,0.0,12533.0,19.4,3.8,0
ORD-05142,2025-01-06,Monday,13,Mostrador,Nuevo,Almuerzo,Bagel,2,5177.0,0.1,9318.0,6.8,4.1,1
ORD-06281,2025-01-06,Monday,14,Delivery,Nuevo,Almuerzo,Wrap,2,5412.0,0.05,10283.0,26.2,3.9,0
ORD-04104,2025-01-06,Monday,15,Mostrador,Habitual,Café,Latte,1,1750.0,0.0,1750.0,2.0,4.9,1
ORD-00889,2025-01-06,Monday,16,Mostrador,Frecuente,Desayuno,Combo desayuno,1,4088.0,0.0,4088.0,4.7,4.0,0
ORD-06471,2025-01-06,Monday,16,Mostrador,Nuevo,Pastelería,Budín,2,1551.0,0.0,3102.0,6.3,5.0,0
ORD-03103,2025-01-06,Monday,17,Mostrador,Nuevo,Almuerzo,Tostado,2,4799.0,0.1,8638.0,5.8,4.8,0
ORD-03136,2025-01-06,Monday,18,Takeaway,Nuevo,Bebidas frías,Limonada,1,2893.0,0.1,2603.0,8.5,4.8,0
ORD-06142,2025-01-06,Monday,18,Takeaway,Habitual,Bebidas frías,Iced latte,3,2807.0,0.0,8422.0,2.8,5.0,0
ORD-04230,2025-01-06,Monday,19,Delivery,Frecuente,Desayuno,Avocado toast,1,3872.0,0.0,3872.0,14.5,4.3,0
ORD-04046,2025-01-06,Monday,20,Takeaway,Nuevo,Café,Americano,1,1629.0,0.0,1629.0,9.8,4.5,0
ORD-04117,2025-01-07,Tuesday,10,Takeaway,Nuevo,Café,Espresso,1,1851.0,0.0,1851.0,14.6,4.0,1
ORD-00415,2025-01-07,Tuesday,11,Mostrador,Nuevo,Desayuno,Tostadas,1,4138.0,0.0,4138.0,3.8,4.5,0
ORD-00478,2025-01-07,Tuesday,11,Mostrador,Nuevo,Café,Latte,1,1970.0,0.1,1773.0,4.0,4.4,0
ORD-04527,2025-01-07,Tuesday,11,Takeaway,Habitual,Desayuno,Combo desayuno,1,4564.0,0.0,4564.0,9.1,5.0,0
ORD-01366,2025-01-07,Tuesday,12,Mostrador,Habitual,Desayuno,Combo desayuno,2,4861.0,0.0,9722.0,8.6,3.7,0
ORD-01652,2025-01-07,Tuesday,12,Mostrador,Nuevo,Pastelería,Tostada dulce,1,1564.0,0.0,1564.0,6.8,4.8,0
ORD-01594,2025-01-07,Tuesday,13,Mostrador,Habitual,Desayuno,Tostadas,1,3874.0,0.0,3874.0,4.7,4.4,0
ORD-03505,2025-01-07,Tuesday,13,Takeaway,Habitual,Pastelería,Budín,2,1635.0,0.0,3269.0,15.2,4.6,0
ORD-04505,2025-01-07,Tuesday,13,Delivery,Habitual,Desayuno,Avocado toast,1,3791.0,0.0,3791.0,21.6,4.4,0
ORD-05745,2025-01-07,Tuesday,13,Mostrador,Habitual,Bebidas frías,Cold brew,2,2720.0,0.0,5440.0,13.3,4.6,0
ORD-02975,2025-01-07,Tuesday,14,Mostrador,Nuevo,Café,Americano,1,1701.0,0.0,1701.0,9.5,4.6,1
ORD-01624,2025-01-07,Tuesday,15,Delivery,Frecuente,Desayuno,Combo desayuno,1,4484.0,0.0,4484.0,15.4,3.1,0
ORD-03858,2025-01-07,Tuesday,15,Delivery,Habitual,Almuerzo,Tostado,1,5755.0,0.0,5755.0,14.3,4.9,1
ORD-03898,2025-01-07,Tuesday,17,Takeaway,Habitual,Pastelería,Medialuna,1,1887.0,0.1,1698.0,10.9,4.2,0
ORD-05068,2025-01-07,Tuesday,18,Delivery,Habitual,Pastelería,Medialuna,2,1735.0,0.0,3471.0,21.8,3.6,0
ORD-05035,2025-01-08,Wednesday,9,Mostrador,Nuevo,Almuerzo,Wrap,2,5572.0,0.0,11144.0,12.3,4.7,1
ORD-05897,2025-01-08,Wednesday,11,Mostrador,Nuevo,Almuerzo,Wrap,1,5027.0,0.0,5027.0,3.4,4.6,0
ORD-01529,2025-01-08,Wednesday,12,Mostrador,Nuevo,Café,Espresso,2,1797.0,0.0,3595.0,6.7,5.0,0
ORD-02090,2025-01-08,Wednesday,12,Mostrador,Nuevo,Pastelería,Cookie,2,1464.0,0.0,2928.0,9.3,4.4,1
ORD-04062,2025-01-08,Wednesday,12,Takeaway,Frecuente,Café,Flat White,1,2020.0,0.0,2020.0,9.5,4.6,1
ORD-05411,2025-01-08,Wednesday,12,Mostrador,Frecuente,Pastelería,Croissant,1,1630.0,0.0,1630.0,10.3,3.9,0
ORD-02171,2025-01-08,Wednesday,13,Takeaway,Habitual,Bebidas frías,Limonada,2,2916.0,0.0,5832.0,4.6,4.6,0
ORD-03804,2025-01-08,Wednesday,13,Delivery,Nuevo,Café,Cortado,1,1592.0,0.0,1592.0,22.5,4.0,0
ORD-05621,2025-01-08,Wednesday,14,Delivery,Nuevo,Almuerzo,Wrap,3,5437.0,0.0,16311.0,15.9,3.7,0
ORD-00540,2025-01-08,Wednesday,16,Mostrador,Habitual,Café,Latte,1,1564.0,0.0,1564.0,6.5,4.3,0
ORD-03788,2025-01-08,Wednesday,16,Delivery,Nuevo,Pastelería,Croissant,2,1704.0,0.0,3407.0,15.3,4.4,0
ORD-04563,2025-01-08,Wednesday,16,Takeaway,Nuevo,Café,Espresso,1,1861.0,0.0,1861.0,7.8,4.6,0
ORD-00233,2025-01-08,Wednesday,18,Delivery,Nuevo,Desayuno,Avocado toast,1,4398.0,0.0,4398.0,16.2,3.9,1
ORD-00300,2025-01-08,Wednesday,18,Takeaway,Nuevo,Pastelería,Budín,3,1637.0,0.0,4911.0,3.0,4.8,0
ORD-05746,2025-01-08,Wednesday,19,Takeaway,Frecuente,Pastelería,Cookie,3,1865.0,0.0,5596.0,6.2,3.2,1
ORD-01783,2025-01-09,Thursday,8,Mostrador,Nuevo,Café,Latte,1,1928.0,0.0,1928.0,8.9,3.9,0
ORD-03442,2025-01-09,Thursday,8,Delivery,Frecuente,Bebidas frías,Limonada,2,2506.0,0.05,4762.0,24.4,4.3,0
ORD-02261,2025-01-09,Thursday,9,Delivery,Nuevo,Desayuno,Yogur + granola,2,3528.0,0.05,6703.0,23.8,3.7,0
ORD-02712,2025-01-09,Thursday,10,Mostrador,Nuevo,Café,Flat White,1,1662.0,0.0,1662.0,4.2,4.8,0
ORD-03805,2025-01-09,Thursday,10,Delivery,Nuevo,Almuerzo,Ensalada,1,5267.0,0.05,5004.0,19.3,4.2,0
ORD-03947,2025-01-09,Thursday,10,Mostrador,Frecuente,Pastelería,Medialuna,2,1557.0,0.0,3114.0,11.1,4.1,0
ORD-02138,2025-01-09,Thursday,11,Mostrador,Frecuente,Café,Flat White,1,1911.0,0.0,1911.0,6.5,5.0,0
ORD-00369,2025-01-09,Thursday,12,Mostrador,Frecuente,Desayuno,Yogur + granola,3,3658.0,0.0,10975.0,8.7,3.9,0
ORD-00821,2025-01-09,Thursday,13,Mostrador,Frecuente,Bebidas frías,Iced latte,3,3143.0,0.0,9429.0,11.7,4.4,0
ORD-01744,2025-01-09,Thursday,13,Mostrador,Frecuente,Café,Americano,1,1697.0,0.1,1527.0,10.3,4.1,0
ORD-04076,2025-01-09,Thursday,13,Takeaway,Nuevo,Almuerzo,Tostado,1,5471.0,0.05,5198.0,9.1,5.0,0
ORD-01167,2025-01-09,Thursday,14,Mostrador,Habitual,Café,Cortado,2,2062.0,0.0,4125.0,8.5,5.0,1
ORD-03119,2025-01-09,Thursday,14,Mostrador,Nuevo,Bebidas frías,Cold brew,3,2990.0,0.0,8971.0,5.0,5.0,0
ORD-05774,2025-01-09,Thursday,14,Mostrador,Habitual,Bebidas frías,Iced latte,1,2964.0,0.0,2964.0,12.8,4.8,1
ORD-06219,2025-01-09,Thursday,14,Mostrador,Nuevo,Café,Latte,1,1655.0,0.0,1655.0,11.5,4.6,0
ORD-00170,2025-01-09,Thursday,18,Delivery,Frecuente,Café,Espresso,3,1678.0,0.0,5033.0,18.6,4.4,0
ORD-00272,2025-01-09,Thursday,18,Mostrador,Habitual,Café,Flat White,1,1914.0,0.0,1914.0,7.8,4.3,1
ORD-03309,2025-01-09,Thursday,18,Mostrador,Nuevo,Almuerzo,Wrap,2,5334.0,0.0,10669.0,7.2,4.7,0
ORD-04700,2025-01-09,Thursday,19,Takeaway,Habitual,Café,Espresso,1,1779.0,0.0,1779.0,8.7,4.4,0
ORD-01180,2025-01-10,Friday,8,Mostrador,Nuevo,Café,Espresso,3,1787.0,0.0,5362.0,6.8,4.5,1
ORD-02636,2025-01-10,Friday,8,Mostrador,Frecuente,Almuerzo,Tostado,3,5755.0,0.0,17265.0,6.7,4.8,0
ORD-02469,2025-01-10,Friday,9,Delivery,Habitual,Café,Flat White,2,2012.0,0.1,3622.0,23.4,4.0,0
ORD-04913,2025-01-10,Friday,11,Takeaway,Habitual,Pastelería,Croissant,1,1357.0,0.0,1357.0,9.2,4.5,0
ORD-00429,2025-01-10,Friday,12,Mostrador,Frecuente,Bebidas frías,Iced latte,1,2684.0,0.0,2684.0,9.6,4.7,0
ORD-01399,2025-01-10,Friday,12,Mostrador,Habitual,Pastelería,Tostada dulce,3,1693.0,0.1,4571.0,3.9,5.0,0
ORD-05405,2025-01-10,Friday,12,Takeaway,Nuevo,Café,Flat White,2,2021.0,0.0,4042.0,11.2,4.1,0
ORD-06384,2025-01-10,Friday,12,Mostrador,Frecuente,Café,Cortado,1,1748.0,0.05,1660.0,6.0,4.9,0
ORD-04645,2025-01-10,Friday,13,Takeaway,Nuevo,Pastelería,Cookie,2,1850.0,0.0,3701.0,10.3,4.2,1
ORD-05114,2025-01-10,Friday,13,Mostrador,Nuevo,Desayuno,Combo desayuno,2,4303.0,0.05,8176.0,8.9,4.8,0
ORD-05162,2025-01-10,Friday,14,Mostrador,Nuevo,Almuerzo,Bagel,3,5344.0,0.0,16033.0,10.2,4.6,0
ORD-04260,2025-01-10,Friday,15,Takeaway,Frecuente,Café,Latte,2,1784.0,0.0,3568.0,8.8,5.0,0
ORD-06369,2025-01-10,Friday,15,Delivery,Nuevo,Café,Espresso,1,1932.0,0.05,1835.0,14.1,3.9,0
ORD-00454,2025-01-10,Friday,16,Mostrador,Nuevo,Desayuno,Tostadas,3,4173.0,0.0,12518.0,3.0,4.8,0
ORD-02410,2025-01-10,Friday,16,Delivery,Nuevo,Desayuno,Yogur + granola,3,3636.0,0.0,10909.0,15.6,3.2,0
ORD-02329,2025-01-10,Friday,18,Mostrador,Habitual,Bebidas frías,Cold brew,2,3151.0,0.0,6302.0,6.3,4.6,0
ORD-03997,2025-01-10,Friday,18,Delivery,Habitual,Café,Cortado,1,1969.0,0.0,1969.0,18.0,4.7,1
ORD-05529,2025-01-10,Friday,18,Delivery,Frecuente,Almuerzo,Tostado,1,5443.0,0.0,5443.0,21.3,3.8,0
ORD-02223,2025-01-10,Friday,19,Delivery,Frecuente,Almuerzo,Wrap,1,4937.0,0.0,4937.0,14.4,5.0,1
ORD-03486,2025-01-10,Friday,20,Mostrador,Nuevo,Desayuno,Avocado toast,1,4587.0,0.0,4587.0,3.1,4.0,1
ORD-06107,2025-01-10,Friday,20,Takeaway,Habitual,Desayuno,Tostadas,3,4163.0,0.0,12489.0,5.7,4.3,1
ORD-01590,2025-01-11,Saturday,10,Mostrador,Habitual,Almuerzo,Bagel,1,5615.0,0.0,5615.0,8.7,4.8,0
ORD-04715,2025-01-11,Saturday,10,Takeaway,Habitual,Almuerzo,Ensalada,1,4589.0,0.15,3901.0,15.4,4.0,1
ORD-01300,2025-01-11,Saturday,12,Mostrador,Habitual,Café,Latte,1,1471.0,0.0,1471.0,7.4,3.9,0
ORD-00830,2025-01-11,Saturday,13,Mostrador,Habitual,Café,Latte,1,1852.0,0.0,1852.0,7.6,5.0,1
ORD-03537,2025-01-11,Saturday,13,Delivery,Habitual,Pastelería,Cookie,3,1638.0,0.0,4913.0,21.1,3.8,0
ORD-04535,2025-01-11,Saturday,13,Mostrador,Nuevo,Desayuno,Tostadas,3,4325.0,0.0,12974.0,7.5,4.3,0
ORD-05630,2025-01-11,Saturday,14,Delivery,Habitual,Almuerzo,Ensalada,2,4721.0,0.0,9442.0,21.4,3.5,0
ORD-01944,2025-01-11,Saturday,16,Mostrador,Habitual,Pastelería,Tostada dulce,2,1730.0,0.0,3460.0,2.4,5.0,1
ORD-01493,2025-01-11,Saturday,17,Mostrador,Nuevo,Café,Flat White,1,1544.0,0.0,1544.0,4.6,4.7,0
ORD-05429,2025-01-11,Saturday,17,Mostrador,Habitual,Café,Americano,1,1964.0,0.1,1767.0,2.3,4.9,1
ORD-01869,2025-01-12,Sunday,8,Mostrador,Habitual,Pastelería,Budín,1,1492.0,0.05,1418.0,9.0,5.0,0
ORD-02559,2025-01-12,Sunday,8,Takeaway,Nuevo,Almuerzo,Tostado,1,5047.0,0.0,5047.0,12.6,5.0,0
ORD-04244,2025-01-12,Sunday,9,Mostrador,Habitual,Bebidas frías,Iced latte,1,2645.0,0.0,2645.0,6.8,4.8,0
ORD-05120,2025-01-12,Sunday,10,Mostrador,Habitual,Bebidas frías,Licuado,2,2696.0,0.0,5392.0,6.9,5.0,0
ORD-04160,2025-01-12,Sunday,11,Mostrador,Frecuente,Pastelería,Tostada dulce,3,1812.0,0.0,5436.0,9.4,4.0,1
ORD-00787,2025-01-12,Sunday,12,Takeaway,Nuevo,Bebidas frías,Licuado,1,2939.0,0.05,2792.0,11.0,4.3,1
ORD-05396,2025-01-12,Sunday,13,Mostrador,Nuevo,Pastelería,Cookie,2,1186.0,0.15,2016.0,7.4,4.3,1
ORD-02263,2025-01-12,Sunday,14,Delivery,Habitual,Bebidas frías,Cold brew,2,2737.0,0.05,5199.0,22.1,4.1,1
ORD-02951,2025-01-12,Sunday,14,Mostrador,Nuevo,Almuerzo,Tostado,1,4925.0,0.0,4925.0,9.8,3.7,0
ORD-03458,2025-01-12,Sunday,14,Delivery,Nuevo,Almuerzo,Bagel,2,4982.0,0.1,8968.0,25.1,3.5,0
ORD-05210,2025-01-12,Sunday,14,Mostrador,Frecuente,Café,Flat White,1,1779.0,0.0,1779.0,7.7,4.9,1
ORD-00385,2025-01-12,Sunday,15,Mostrador,Frecuente,Desayuno,Yogur + granola,2,3819.0,0.15,6493.0,6.8,4.0,1
ORD-03682,2025-01-12,Sunday,16,Mostrador,Nuevo,Desayuno,Avocado toast,2,3922.0,0.05,7452.0,7.4,4.8,0
ORD-04531,2025-01-12,Sunday,17,Mostrador,Frecuente,Desayuno,Tostadas,1,4588.0,0.0,4588.0,4.4,5.0,0
ORD-01536,2025-01-12,Sunday,18,Mostrador,Habitual,Café,Americano,2,1615.0,0.0,3231.0,2.0,5.0,1
ORD-00138,2025-01-12,Sunday,19,Takeaway,Frecuente,Pastelería,Croissant,1,1311.0,0.0,1311.0,7.0,4.5,0
ORD-04036,2025-01-12,Sunday,19,Takeaway,Habitual,Café,Espresso,1,1931.0,0.05,1834.0,11.3,4.2,0
ORD-04642,2025-01-12,Sunday,19,Mostrador,Nuevo,Café,Latte,2,1785.0,0.0,3569.0,3.6,5.0,1
ORD-02499,2025-01-12,Sunday,20,Mostrador,Habitual,Café,Flat White,1,1794.0,0.0,1794.0,4.5,5.0,0
ORD-02322,2025-01-13,Monday,7,Mostrador,Nuevo,Desayuno,Combo desayuno,1,4324.0,0.0,4324.0,3.8,5.0,0
ORD-00147,2025-01-13,Monday,9,Takeaway,Frecuente,Pastelería,Cookie,2,1619.0,0.0,3239.0,9.6,4.6,0
ORD-05002,2025-01-13,Monday,10,Mostrador,Frecuente,Pastelería,Tostada dulce,1,1391.0,0.15,1183.0,9.0,4.7,0
